Name,Speed,Modules,Price / GB,DDR,Price
G.Skill Aegis 16 GB,3000,2 x 8GB,2.249,DDR4,35.99
Corsair Vengeance LPX 16 GB,2666,2 x 8GB,2.499,DDR4,39.99
Corsair Vengeance LPX 16 GB,2400,2 x 8GB,2.499,DDR4,39.99
OLOy MD4U083016BGDA 16 GB,3000,2 x 8GB,1.999,DDR4,31.98
TEAMGROUP T-Create Expert 16 GB,3200,2 x 8GB,2.187,DDR4,34.99
Silicon Power GAMING 16 GB,3600,2 x 8GB,2.186,DDR4,34.97
Patriot Signature Premium 16 GB,2666,2 x 8GB,2.093,DDR4,33.49
Corsair Vengeance RGB Pro 32 GB,3600,2 x 16GB,2.968,DDR4,94.99
Corsair Vengeance LPX 32 GB,3600,2 x 16GB,2.343,DDR4,74.98
G.Skill Ripjaws V 32 GB,3200,2 x 16GB,2.031,DDR4,64.98
Corsair Vengeance RGB Pro SL 32 GB,3600,2 x 16GB,2.656,DDR4,84.99
Silicon Power GAMING 32 GB,3200,2 x 16GB,1.593,DDR4,50.97
Corsair Vengeance LPX 32 GB,3200,2 x 16GB,2.187,DDR4,69.98
G.Skill Trident Z RGB 32 GB,3200,2 x 16GB,2.562,DDR4,81.99
G.Skill Ripjaws V 32 GB,3600,2 x 16GB,2.499,DDR4,79.98
Kingston FURY Beast 32 GB,3200,2 x 16GB,1.968,DDR4,62.99
TEAMGROUP T-Force Vulcan Z 32 GB,3600,2 x 16GB,1.906,DDR4,60.99
TEAMGROUP T-Force Delta RGB 32 GB,3600,2 x 16GB,2.374,DDR4,75.98
Crucial Pro 32 GB,3200,2 x 16GB,1.843,DDR4,58.99
TEAMGROUP T-Force Delta RGB 32 GB,3600,2 x 16GB,2.374,DDR4,75.98
Corsair Vengeance RGB Pro 32 GB,3200,2 x 16GB,2.499,DDR4,79.98
G.Skill Ripjaws V 32 GB,3600,2 x 16GB,2.187,DDR4,69.99
TEAMGROUP Elite 32 GB,3200,2 x 16GB,1.625,DDR4,51.99
G.Skill Trident Z Neo 32 GB,3600,2 x 16GB,3.125,DDR4,99.99
Corsair Vengeance RGB Pro 32 GB,3200,2 x 16GB,2.812,DDR4,89.99
G.Skill Trident Z RGB 32 GB,3600,2 x 16GB,2.562,DDR4,81.99
TEAMGROUP T-Force Vulcan Z 32 GB,3200,2 x 16GB,1.875,DDR4,59.99
Kingston FURY Renegade 32 GB,3600,2 x 16GB,3.003,DDR4,96.10
G.Skill Ripjaws V 32 GB,4000,2 x 16GB,2.437,DDR4,77.98
