Name,Speed,Modules,Price / GB,DDR,Price
Corsair Vengeance 32 GB,6200,2 x 16GB,3.750,DDR5,119.99
Corsair Vengeance 32 GB,4800,2 x 16GB,3.125,DDR5,99.99
TEAMGROUP T-Force Delta RGB 32 GB,7200,2 x 16GB,3.906,DDR5,124.99
Lexar Ares RGB 32 GB,6000,2 x 16GB,3.125,DDR5,99.99
TEAMGROUP T-Force Delta RGB 32 GB,6000,2 x 16GB,2.906,DDR5,92.99
Corsair Vengeance RGB 32 GB,6000,2 x 16GB,3.437,DDR5,109.99
TEAMGROUP T-Force Vulcan 32 GB,5600,2 x 16GB,2.625,DDR5,83.99
G.Skill Ripjaws S5 32 GB,6000,2 x 16GB,3.281,DDR5,104.99
G.Skill Trident Z5 RGB 32 GB,8000,2 x 16GB,7.500,DDR5,239.99
Corsair Vengeance 32 GB,5600,2 x 16GB,3.281,DDR5,104.99
Corsair Vengeance 16 GB,5200,2 x 8GB,4.374,DDR5,69.98
Crucial CT2K8G48C40U5 16 GB,4800,2 x 8GB,2.874,DDR5,45.99
Kingston FURY Beast 16 GB,5200,2 x 8GB,4.374,DDR5,69.98
Patriot Viper Black 16 GB,5200,2 x 8GB,3.624,DDR5,57.98
Kingston FURY Beast 16 GB,6000,2 x 8GB,4.999,DDR5,79.99
Kingston FURY Beast RGB 16 GB,6000,2 x 8GB,5.686,DDR5,90.98
Kingston FURY Beast 16 GB,6000,2 x 8GB,5.217,DDR5,83.47
Kingston FURY Beast 16 GB,5600,2 x 8GB,5.492,DDR5,87.87
Patriot Viper Black 16 GB,5600,2 x 8GB,3.312,DDR5,52.99
Kingston FURY Beast RGB 16 GB,5600,2 x 8GB,5.124,DDR5,81.99
Kingston FURY Beast RGB 16 GB,4800,2 x 8GB,5.311,DDR5,84.98
TEAMGROUP Elite 16 GB,4800,2 x 8GB,2.562,DDR5,40.99
Kingston FURY Beast RGB 16 GB,5200,2 x 8GB,5.312,DDR5,84.99
Kingston FURY Beast RGB 16 GB,6000,2 x 8GB,5.741,DDR5,91.85
TEAMGROUP Elite 16 GB,5200,2 x 8GB,3.062,DDR5,48.99
Crucial Classic 16 GB,5600,2 x 8GB,3.499,DDR5,55.99
TEAMGROUP T-Force Vulcan 16 GB,5200,2 x 8GB,3.749,DDR5,59.99
Kingston FURY Beast 16 GB,4800,2 x 8GB,4.561,DDR5,72.98
Kingston FURY Beast 16 GB,5600,2 x 8GB,4.936,DDR5,78.98
Kingston FURY Beast RGB 16 GB,5600,2 x 8GB,5.529,DDR5,88.47
Kingston FURY Beast RGB 16 GB,5200,2 x 8GB,5.384,DDR5,86.15
Crucial Classic 16 GB,5200,2 x 8GB,3.499,DDR5,55.99
Kingston FURY Beast 16 GB,5200,2 x 8GB,4.688,DDR5,75.01
TEAMGROUP Elite 16 GB,5200,2 x 8GB,3.062,DDR5,48.99
Corsair Vengeance 16 GB,4800,2 x 8GB,4.374,DDR5,69.98
VisionTek OCPC PISTA RGB 16 GB,5600,2 x 8GB,21.874,DDR5,349.99
Kingston ValueRAM 16 GB,4800,2 x 8GB,4.416,DDR5,70.65
Crucial CT8G48C40U5 8 GB,4800,1 x 8GB,2.874,DDR5,22.99
Crucial Classic 8 GB,5600,1 x 8GB,3.124,DDR5,24.99
Patriot Signature Line 8 GB,4800,1 x 8GB,3.873,DDR5,30.98
Kingston FURY Beast 8 GB,6000,1 x 8GB,5.609,DDR5,44.87
TEAMGROUP Elite 8 GB,5200,1 x 8GB,3.249,DDR5,25.99
Kingston FURY Beast RGB 8 GB,5600,1 x 8GB,6.014,DDR5,48.11
Kingston FURY Beast 8 GB,4800,1 x 8GB,5.136,DDR5,41.09
Kingston FURY Beast 8 GB,5200,1 x 8GB,5.174,DDR5,41.39
Kingston FURY Beast 8 GB,5600,1 x 8GB,5.354,DDR5,42.83
Kingston ValueRAM 8 GB,4800,1 x 8GB,4.900,DDR5,39.20
Kingston FURY Beast RGB 8 GB,5600,1 x 8GB,6.268,DDR5,50.14
Crucial Classic 8 GB,5200,1 x 8GB,3.623,DDR5,28.98
Kingston FURY Beast RGB 8 GB,5200,1 x 8GB,5.867,DDR5,46.94
Kingston ValueRAM 8 GB,4800,1 x 8GB,4.625,DDR5,37.00
