Name,Capacity,Price / GB,Type,Cache (MB),Form Factor,Interface,Price
TEAMGROUP T-Force Cardea A440 Pro,2 TB,0.050,SSD,,M.2-2280,M.2 PCIe 4.0 X4,99.99
ADATA XPG GAMMIX S70 Blade,2 TB,0.057,SSD,,M.2-2280,M.2 PCIe 4.0 X4,113.73
Seagate BarraCuda,2 TB,0.045,7200 RPM,64,"3.5""",SATA 6.0 Gb/s,89.99
Samsung 860 Evo,1 TB,0.129,SSD,1024,"2.5""",SATA 6.0 Gb/s,128.99
Western Digital Black SN770,500 GB,0.100,SSD,,M.2-2280,M.2 PCIe 4.0 X4,49.99
Silicon Power UD90,1 TB,0.050,SSD,,M.2-2280,M.2 PCIe 4.0 X4,49.99
Crucial BX500,1 TB,0.043,SSD,,"2.5""",SATA 6.0 Gb/s,43.50
Kingston A400,480 GB,0.075,SSD,,"2.5""",SATA 6.0 Gb/s,35.99
Crucial P5 Plus,500 GB,0.100,SSD,1024,M.2-2280,M.2 PCIe 4.0 X4,49.99
Kingston Fury Renegade,1 TB,0.070,SSD,,M.2-2280,M.2 PCIe 4.0 X4,69.99
MSI SPATIUM M461,4 TB,0.045,SSD,,M.2-2280,M.2 PCIe 4.0 X4,179.99
Silicon Power UD90,2 TB,0.042,SSD,,M.2-2280,M.2 PCIe 4.0 X4,84.97
Solidigm P44 Pro,2 TB,0.065,SSD,,M.2-2280,M.2 PCIe 4.0 X4,129.99
Samsung 870 QVO,4 TB,0.051,SSD,,"2.5""",SATA 6.0 Gb/s,203.00
Corsair MP600 CORE XT,2 TB,0.055,SSD,,M.2-2280,M.2 PCIe 4.0 X4,109.99
Corsair MP600 PRO XT,8 TB,0.121,SSD,,M.2-2280,M.2 PCIe 4.0 X4,969.99
Solidigm P44 Pro,1 TB,0.092,SSD,,M.2-2280,M.2 PCIe 4.0 X4,91.99
Silicon Power UD85,2 TB,0.037,SSD,,M.2-2280,M.2 PCIe 4.0 X4,74.97
Samsung 860 Evo,500 GB,0.126,SSD,512,"2.5""",SATA 6.0 Gb/s,62.99
Crucial MX500,500 GB,0.070,SSD,512,"2.5""",SATA 6.0 Gb/s,34.99
Western Digital Blue,1 TB,0.074,SSD,,"2.5""",SATA 6.0 Gb/s,73.90
Lexar NM790,4 TB,0.047,SSD,,M.2-2280,M.2 PCIe 4.0 X4,188.99
Samsung 980 Pro w/Heatsink,1 TB,0.080,SSD,1024,M.2-2280,M.2 PCIe 4.0 X4,79.98
Western Digital DC HC530,14 TB,0.011,7200 RPM,512,"3.5""",SATA 6.0 Gb/s,159.50
Western Digital Black SN850X w/Heatsink,2 TB,0.082,SSD,,M.2-2280,M.2 PCIe 4.0 X4,164.99
Seagate FireCuda 530,2 TB,0.079,SSD,,M.2-2280,M.2 PCIe 4.0 X4,158.47
ADATA XPG GAMMIX S70 Blade,1 TB,0.065,SSD,,M.2-2280,M.2 PCIe 4.0 X4,64.98
Western Digital Blue,4 TB,0.018,5400 RPM,256,"3.5""",SATA 6.0 Gb/s,72.99
Lexar NM790,1 TB,0.096,SSD,,M.2-2280,M.2 PCIe 4.0 X4,96.29
Seagate IronWolf NAS,8 TB,0.020,7200 RPM,256,"3.5""",SATA 6.0 Gb/s,159.99
PNY CS2140,1 TB,0.044,SSD,,M.2-2280,M.2 PCIe 4.0 X4,43.66
ADATA Legend 800,2 TB,0.041,SSD,,M.2-2280,M.2 PCIe 4.0 X4,81.99
Crucial T700,4 TB,0.119,SSD,,M.2-2280,M.2 PCIe 5.0 X4,477.79
Crucial T700 W/Heatsink,4 TB,0.125,SSD,,M.2-2280,M.2 PCIe 5.0 X4,499.99
Crucial T700,1 TB,0.160,SSD,,M.2-2280,M.2 PCIe 5.0 X4,159.99
Crucial T700,2 TB,0.135,SSD,,M.2-2280,M.2 PCIe 5.0 X4,269.99
Corsair MP700,2 TB,0.125,SSD,,M.2-2280,M.2 PCIe 5.0 X4,249.99
Corsair MP700,1 TB,0.160,SSD,,M.2-2280,M.2 PCIe 5.0 X4,159.99
MSI SPATIUM M570 HS,2 TB,0.135,SSD,4096,M.2-2280,M.2 PCIe 5.0 X4,269.99
Crucial T700 W/Heatsink,2 TB,0.142,SSD,,M.2-2280,M.2 PCIe 5.0 X4,284.99
Gigabyte AORUS Gen5 12000,2 TB,0.132,SSD,,M.2-2280,M.2 PCIe 5.0 X4,264.99
Seagate FireCuda 540,2 TB,0.149,SSD,,M.2-2280,M.2 PCIe 5.0 X4,298.99
Crucial T700 W/Heatsink,1 TB,0.168,SSD,,M.2-2280,M.2 PCIe 5.0 X4,167.99
TEAMGROUP T-Force Cardea Z540,2 TB,0.130,SSD,,M.2-2280,M.2 PCIe 5.0 X4,259.99
Gigabyte AORUS Gen5 12000,1 TB,0.155,SSD,,M.2-2280,M.2 PCIe 5.0 X4,154.99
Seagate FireCuda 540,1 TB,0.180,SSD,,M.2-2280,M.2 PCIe 5.0 X4,179.99
TEAMGROUP T-Force Cardea Z540,1 TB,0.150,SSD,,M.2-2280,M.2 PCIe 5.0 X4,149.99
ADATA LEGEND 970,2 TB,0.159,SSD,,M.2-2280,M.2 PCIe 5.0 X4,317.00
Inland TD510,2 TB,0.125,SSD,,M.2-2280,M.2 PCIe 5.0 X4,249.99
Inland 1TB TD510 NVME,1 TB,0.155,SSD,,M.2-2280,M.2 PCIe 5.0 X4,154.99
ADATA LEGEND 970,1 TB,0.200,SSD,,M.2-2280,M.2 PCIe 5.0 X4,200.40
Nextorage NE5N,2 TB,0.145,SSD,,M.2-2280,M.2 PCIe 5.0 X4,289.99
Nextorage NE5N,1 TB,0.170,SSD,,M.2-2280,M.2 PCIe 5.0 X4,169.99
